,,D-T-D,Best portable speaker,06 Oct 2012,4.0 ,"I looked at other portable speakers and ended up with Altec Lansing iM227 and never regretted it. Sound quality is good for the price you are paying. The volume is loud enough for phone/tablet/laptop use. AAA batteries was the main reason I chose iM227 over its competitors. See, if you have built-in rechargeable battery, the speaker is much smaller. But there are some drawbacks. Once the battery is drained, you cannot use the speaker until it's recharged. And once the battery has reached its life, you have to throw the speaker away. (The cost of replacing battery is likely comparable with the speaker, unless you're replacing it yourself.) .... and finally, you have to carry yet another charger/cable for your speaker. Despite iM227 being larger than its competitors, the fact that it accepts standard AAA batteries made up for it. It ensures continuous use (as long as I have another set of batteries around), and guarantees that it will be useful long after the manufacturer decides not to support it. I have been using this speaker with 2 sets of 3xEneloops and am very satisfied with it. Unless better competition comes along, I wouldn't hesitate to purchase iM227 again. But as everything in this world, nothing is perfect. Here's a list : - Audio cable is too short. I had to buy an extension cable for it. From its design, I suspect that the audio cable with be the first part to give out - Just when the battery has barely enough juice to power the speaker, it will make an annoying/loud buzz until the battery is dead or until you turn the speaker off. - Battery compartment contacts are sensitive. Do not drop it with batteries installed. - When packed in a suitcase/luggage, be sure to take at least one battery out. - Why 3 AAAs? I know there's a technical limitation behind it, but I'd rather use 2 AAAs instead. See, AAAs always come in even number, and it messes up my rechargeables setup. :) - Never crank up to 85-100% volume. That guarantees noise. The manual mentioned it, but I wish the speaker could handle this situation better."
,,Malia M.,"great so far, Addressing issues",07 Dec 2011,5.0 ,"I bought this product to replace an $8 mini speaker. So I cannot compare it to mini speakers in the same price range. I was thinking of buying another brand, if so I will return to make this comparison. I bought this after comparing about 500 five star reviews to 50 one star reviews. Some complained about trouble closing the battery compartment. You twist the cap off the bottom to open this area. There are slots on either side of the cap which secure it to the base. You can not secure the cap if the slots are reversed. The slot position is correct if you can wrap the cord around the back and clip it into the 'mold'. Once again, I have not owned it long enough to talk about battery life issues. I bought rechargeable batteries that I can recharge over night, but hopefully I do need to. Others say the speaker makes noises. Maybe its to early for me to hear these screeching noises, maybe other five star reviewers posted prematurely as well. But I know that this speaker, or any speaker, will malfunction if the sound is too loud. Make sure that you use the speaker as recommended: keep the volume under 85%, and do not use an equalizer. This issue could be the result of user error. I hope to update if anything changes. UPDATE: The speakers began to screech while playing. Conditions: Device volume set at 2/3(20/30) . Does not screech at lower volume level (5/30). Green light is now red. So once again, people are complaining about this loud screeching issue. Based on the conditions, I believe it is the battery level. High volume = more battery use; Low battery = Screech sound"
,,Richard P. Willey,Boldly moving into the 21st Century!,21 Jun 2011,5.0 ,"I've been wanting to get into the 21st century in terms of my music system that I take camping for a long time now. Let's face it; hauling around a boom box, cases of CD's and enough batteries to sink a battleship gets old pretty fast. I read all the reviews on external speaker for mp3 players that I could find and the Altec Lansing iM-237 Orbit Ultraportable Speaker for MP3 Players got the best ones. So I placed an order and it came in this morning and I couldn't wait to test it out. This little speaker is amazing and it's just what I was looking for, it's small, lightweight and it's more that loud enough for playing music while camping. After all, I'm camping not staging a rave! I'm curious about usage in terms of the battery life, and will update my review after it's made it first trip into the wilderness. I also noted in one of the reviews about the mono issue and buying two speakers and getting a splitter. I'm not sure that is going to be an issue for me personally, but I have made a mental note about it anyway, you never know. All I know is I've gone from having to haul a storage box full of stuff to having a system I can literally carry in one hand. You have to admit, the 21st century is pretty cool! Update: Just came back from a week camping trip and I can now report that this little Altec speaker is the bomb! We never had to turn the volume on it all the way up to hear the music at all. The batteries lasted the whole week of daily use without being taken out every night and never needed to be replaced. I simply am overjoyed in having found it and look forward to many years of use with it. To say I highly recommend it is overstating the obvious! Bye-bye boom box!"
,,EscapeVelocity,One of the Loudest Available,25 Feb 2013,4.0 ,"Pros Louder than most Stable form factor - doesnt bounce around or roll over Longer cord than most - almost twice as long as most Power Button with On/Off indicator light Runs on 3 user replaceable AAA batteries - Use LSD NiMH (Eneloops) and you have a rechargeable user replaceable solution Easy access to battery compartment Cord stores away easily and intuitively Good protection of the driver - protects it from jabs and pokes in your backpack Not a battery hog - pretty easy on the batteries, lots of playtime on a set of alkalines Cons Build quaity - not bad, but could use better materials for the cord thickness and lower plastic frame (they might have cheapened it down from the earlier IM237) Sound quality - a bit thin and tinny sounding, some distorition at highest volume, but pretty good compared to the competition Size - bigger than most others, but this isnt that big of a deal Cord length - even though it is almost twice as long as most, and you can get an extension cord for it, it could stand to be 4"" longer Other products Ive used... X-Mini II Music Bullet Various high quality headphones Various audiophile home and car audio systems - I like vintage equipment Very satisfied with the purchase. Highly recommended. I suffered severe hearing loss and no longer can use headphones. And my listening enjoyment of audiophile gear is severely impaired having everything go through hearing aids now. I use this to augment the nearly imperceptable noises coming out of my laptop integrated speakers and it allows me to access news video clips and listen to music well. The extra volume that this produces over the X-Mini II and Music Bullet makes a difference. I had the X-Mini II for a while and then damaged the cord due to it's thinness combined with rough handling while attached and the very short cord. This is an improvement all the way around over the X-Mini II for me. I also picked up a Music Bullet (As Seen on TV) and I will be keeping that one too. Look for my review on Amazon of the Music Bullet. Long story short...I like the USB rechargeable lithium-ion battery and the extra long (twice as long again as the Altec Lansing IM227) RETRACTABLE cord. The long cord is invaluable...that it is retractable in a quick and seemling quite sturdy mechanism is a delight! The Music Bullet's sound quality and volume doesnt match the X-Mini II, but these ease of use features more than make up for the slight difference. one thing I dont like about the Music Bullet is the lack of protection for the driver....it is open to abuse with not even open bars of the X-Mini. Im gonna keep them both. The reason why the ability to get loud is so important (other than my hearing impairment) is that even though it distorts at full volume on most sources of audio (Youtube and the like)....it gives you the extra flexibility to listen to Video clips with poor audio levels at decent sound levels (and without distorting). This is why the Altec Lansings loudness advantage over other similar devices is so desireable. I would have given this 4 and 1/2 stars but couldnt bring myself to give it 5 stars because there is room for improvement. That being said. I highly recommend the Altec Lansing IM227 Orbit. It is one of the best of it's class. Other products considered... iHome iHM60 Kinivo ZX100 iTour Pop = Nearly purchased this one for it's Sound Quality (3w amp, loudness, and lower distortion) but the short cord and busy pop up design led me to the simplicity of the Altec Lansing If you found my review helpful please click the Yes button below. UPDATE: It's only been a few months and the thin cord is damaged at the plug. It is a week spot. Shame, because the unit got a lot of things right. I would improve the sturdiness of the plug and also the battery cover, which isnt terrible but could be a little better implemented for battery changes in low lighting."
,,Michael Maryland,"Great little speaker, but not perfect.",24 Aug 2012,5.0 ,"Some might prefer a portable speaker with an internal rechargeable battery, but I like being able to use my own rechargeable AAA batteries. I have purchased multiple Eneloop rechargeables and like that I can replace them if need be. There is no volume control. This is a bit of a bummer, but honestly you just do not need one as you have a volume switch on your device. My only real issue with this product is the cord. It is small and thin. It feels like it could easily get yanked out. I would almost just prefer it had an aux port instead so I could use my own cord. This unit is a bit bigger than the competition. As far as the sound goes, its really good. I had someone momentarily fooled into thinking my Klipsch 2.1 computer speakers were playing. You obviously cannot compare this with a 2.1 system, but it puts out nice rich sound at all but the highest volume. Given its size, only the craziest audiophile could be upset with its sound. The company claims 24 hour battery life. So far I am on about 8 hours and have not had to change them. I am loving everything about this thing other than the suspect cord. Im interested to see a new model, but I highly recommend this."
,,Matt,Portable Audio: Altec Lansing iM237 Orbit Speaker,05 May 2013,4.0 ,"I needed a portable speaker for playing tunes from my phone when I was outdoors doing yardwork, or when I was shooting baskets or playing racquetball. The Altec Lansing iM237 was highly rated and one of the most popular products available, so I gave it a shot. It really is portable, about the size of 2 hockey pucks stacked together. It is extremely light, and takes 3 AAA batteries. It includes a lightly padded carrying case which is essential. The sound itself is as advertised, loud and powerful, and the cable to connect to your device (3.5mm) is conveniently tucked and wrapped around the bottom of the unit. All in all, I was very happy with the speaker and MOST of its design. I do have some criticisms however. The cable is quite short, and this can be a hassle when trying to use the device it is attached to. Obviously you can get an extender (which I suggest) but I would have liked a tad more length. Also, the power button is a slight issue. Sometimes it just gets turned on from pressure against it when it is in the case, and this of course drains your batteries. My third main criticism is durability. I admit I used my speaker pretty often, but within a year and a half (conveniently out of warranty) the power button simply stopped working. The connections were fragile, and even attempting to do some minor cobbling repairs did not get the job done, and the power button simply stopped working. However, I liked the product enough to order it's newer version the MI227, which is basically the same unit. So if you're in the market for a portable speaker, the AL IM237/227 is great: be aware there are a couple drawbacks, be careful with the power button, and get ready to rock out."
,,Celia Bauer,Solved the static noise that bad reviews complained about,07 Feb 2011,4.0 ,"I read a lot of reviews for this speaker, including bad ones complaining of horrible static, but decided to give it a try. I wanted a portable speaker for my ipod touch so I could listen to podcasts and easily move from room to room at home without being tangled in earphones or having to unplug from the wall. I've had it for a week now and have decided to keep it. When I first got it and plugged it into my ipod, it made terrible crackling static noise. I thought I got one of the duds because it was doing what the bad reviews complained about. Then the crackling would come and go. So I started experimenting and figured out the problem...static electricity. All winter I've noticed static crackling a little in my earphones when I put on or took off my very static-charged bathrobe but it wasn't loud or bothersome. This speaker is a little more sensitive and WHOLE LOT LOUDER when it gets near static electricity. I hadn't realized how dry it is in my home with electric heat running. The day after I got the speaker, I put it in the bathroom with the door closed while I showered, creating high humidity. The static problem disappeared. So I'm running a humidifier and I fiddle with the speaker and wire every day to make sure I don't have a dud. Works well and sounds good now, no crackling at all. So the speaker doubles as humidity gauge. This speaker has great output with music for the size. With spoken word pod casts it's fine usually but leaves me wanting a little more volume sometimes when I'm listening in the shower. I like that I can carry the speaker and ipod in one hand. I've used it everyday for a week and batteries that came with it are still strong. For the price and portability, I'm happy."
,,T. Poole,good speaker,31 Mar 2012,5.0 ,"Daughter used this for dance/drill team tryouts. Needed a way to use her ipod Nano attached to a speaker and be 10 or more feet from the speaker(so you can dance and not step on, kick, etc the ipod and speaker) and still be able to ""hear"" the music. They go from house to house during tryout week, and you never know if you will have a CD player, or if you have to be outside to practice or what, so having a small portable speaker was what we needed. I had purchased another product in the same price range, and don't know if it was defective or not but at it's loudest, you could lay your ear on the speaker to get ""a quiet/normal volume."" I was disappointed in that one. 2 feet away and you could't hear the music. So I ordered this one based on the fact that it had ""loud volume"" that was needed for our purpose and it worked great. Haven't had it long, so can't comment on durability, battery life, etc...but it has now been outside while the girls sunned, and it worked in that situation just fine. Good speaker for the price...and like that it is compact. The wire to connect the ipod is not long, but is long enough, and it wraps around pegs underneath to keep it neat. This is not a super loud ""booming"" speaker, but it is sufficient for the girls to learn their dances to when they are on their own."
,,EssJayKay,"LOUD, just like I was looking for",12 May 2012,5.0 ,"I have used some other portable speakers, such as iHome speaker docks for use with an iPhone, but have always been very unsatisfied with the volume output. This unit is smaller than any I have tried, is very light and portable, and doesn't seem to run through batteries. It also gets LOUD! Obviously it's not going to compare with a stereo speaker system, but for such a portable unit, it really is wonderful. I do have some mixed feelings about the built in Aux cable. On one hand, it is really nice that it has one, and even better that it tucks into the bottom of the unit where it sits relatively protected. On the other hand, the cable itself is very short which limits the way I use it to some degree. If you just want it to sit in place with an iPod attached, then great, no problem! But when I try to hold my iPad on my lap to use music apps like GarageBand, sometimes it's awkward to find a place to put the speaker within the 9"" range the cord provides. If the unit had an AUX jack instead of or in addition to a hard wired cord, this logistical issue would be solved. I recognize that this is a very minor issue though, so haven't deducted any stars from my overall review. I have had no complaints about the clarity of the sound, even at higher volumes. The bass is a bit lacking as one might expect from a small unit, but I haven't encountered any buzzing sounds from more bass-heavy songs. Overall I am extremely happy with this device!"
,,Comdet,"Great sound, nice Fire addition, but weak cord",16 Dec 2011,4.0 ,"Overall, I'm pleased with this speaker. It hits the mark where it counts the most -- great sound. It makes the audio output of the Kindle Fire sound SO much better! I also like that it runs on removable batteries. Many of the other small speakers I looked at had an internal rechargeable battery. While that has some advantages, the fact that the Fire does not have a USB port means I'd have to charge them from an outlet (with an adapter) or on my PC. Plus, non-removable batteries can present a problem when they fail. The Altec Lansing uses 3 AAA batteries which are far easier to deal with. I still use rechargeables (either Eneloops or the Amazon Basic rechargeable) and get several hours of play time per charge. The shortcomings relate to the cord. It's short (about 8 inches) and is very thin. It would be a much better product with a longer cord (about 12 inches) and a cord that's made of more substantial material. I can see the cord being a potential point of failure down the road due to its lightweight construction. But overall, it's a good device and a great value (if you catch it on a price dip). Highly recommend as an add-on to the Fire."
,,Taterbug,Does the job!,18 Jul 2012,4.0 ,"I ordered this speaker because face it, speakers in these small devices aren't large enough or powerful enough most of the time. I am also 90% deaf in my right ear so this speaker was exactly what I was looking for. It really cranks up the volume for it's small size. Don't expect a PA system or large in-home stereo sound but expect to hear a clear sound and even bass frequencies. The speaker cord is too short in my opinion and the battery cover is awkward to remove and replace batteries. I don't think they are worth $30 but more like $20 or a bit more. They do however come with the 3 batteries for the unit and the name Altec has never let me down. We used their speakers back in the 1980's for our hard rock band's PA system and they were quality then and now. I suggest buying these if you're hard of hearing. Really helped me. Also follow the directions on how to adjust the volume. It recommends setting your device at 85 to 90% of it's volume and to disable the bass boast on the EQ setting. Not sure yet how the batteries will hold out but it makes sense that the longer it's played at a high volume it will consume them faster! ...Amazon also got them to me fast as usual!"
,,RF,Great little speaker,04 Feb 2017,5.0 ,"this is the best sounding small speaker you could imagine. I got this speaker when it first came out for $11.00. that's not a typo. eleven dollars! I kick myself every time I remember that. I should have bought more; like 10 more. I've had it for 2 years now and use it every day sitting on the dash of the truck I drive. sounds as good as it always has. I bought a little blue-tooth signal receiver that I plug on to it, so no extension wire to mess with. if it ever goes up on me, I guess i'll have to spend $100 on a new one. I'm too spoiled now to accept a lesser sounding speaker."
